"Numero"	"Total"	"year.2015"	"year.2016"	"year.2017"	"year.2018"	"year.2019"	"year.2020"	"year.2021"	"year.2022"
1	154	18	12	14	12	8	12	4	14
2	135	13	15	6	17	11	6	4	10
3	141	13	12	21	6	15	12	5	7
4	139	11	15	11	12	7	10	8	9
5	123	7	14	14	8	10	7	3	10
6	128	10	16	14	8	9	7	6	7
7	144	13	12	12	15	16	11	1	8
8	123	14	12	9	15	12	3	3	12
9	148	10	10	15	20	10	13	1	8
10	141	8	15	12	13	9	8	7	9
11	143	20	17	15	17	10	5	0	14
12	148	15	17	12	16	5	10	4	10
13	126	15	11	8	9	11	16	3	9
14	124	13	19	7	6	10	10	7	6
15	139	11	14	10	12	14	12	5	7
16	127	14	12	13	11	10	10	0	9
17	137	8	14	12	12	11	11	3	8
18	146	13	9	11	15	9	10	5	15
19	142	12	10	14	18	15	7	4	14
20	132	16	13	17	10	2	6	3	10
21	139	15	16	13	10	18	6	3	10
22	144	12	13	16	15	10	8	4	13
23	131	15	8	14	11	8	7	4	11
24	136	14	8	10	22	8	8	4	4
25	112	13	6	15	13	11	8	3	10
26	129	6	14	18	17	10	4	2	8
27	126	8	10	14	10	15	11	7	8
28	139	14	15	16	15	10	11	4	9
29	129	9	10	16	7	13	4	6	13
30	162	23	14	11	9	9	7	2	11
31	135	8	15	11	16	9	8	1	9
32	135	11	15	12	16	10	5	4	9
33	123	11	10	11	6	6	9	4	6
34	143	8	15	9	16	9	12	3	9
35	133	12	13	20	16	10	7	0	4
36	130	11	11	11	15	11	16	3	5
37	147	12	11	15	12	15	7	4	7
38	143	19	12	9	13	11	8	3	12
39	126	14	8	13	12	9	5	1	10
40	157	12	21	12	19	12	9	1	15
41	131	15	12	10	13	15	10	1	9
42	115	12	10	12	14	8	12	5	3
43	147	13	15	12	13	14	6	6	10
44	127	10	12	10	11	11	10	3	7
45	159	12	15	15	12	12	9	7	14
46	131	21	17	7	9	6	13	4	12
47	140	14	11	15	7	15	10	4	9
48	124	13	12	16	8	11	7	2	10
49	151	19	12	14	15	12	9	3	9
