Numero	Total	year.2015	year.2016	year.2017
1	383	19	12	14
2	363	14	15	6
3	405	14	12	19
4	365	23	15	10
5	387	12	14	13
6	392	13	16	14
7	375	15	12	12
8	347	15	12	8
9	373	10	10	14
10	380	12	15	12
11	386	7	17	14
12	374	13	17	12
13	360	20	11	8
14	381	12	19	7
15	379	13	14	9
16	367	11	12	12
17	373	18	14	12
18	356	8	9	11
19	361	11	10	13
20	353	8	13	17
21	372	9	16	11
22	391	21	13	16
23	394	12	8	14
24	349	12	8	9
25	360	13	6	14
26	370	15	14	16
27	364	8	10	13
28	366	15	15	13
29	385	10	10	16
30	400	10	14	10
31	368	8	15	10
32	365	13	15	12
33	363	12	10	11
34	377	11	15	8
35	381	14	13	18
36	380	6	11	10
37	386	11	11	15
38	409	15	12	9
39	409	14	8	12
40	379	13	21	12
41	391	8	12	10
42	367	11	10	11
43	364	12	15	12
44	367	13	12	8
45	401	13	15	13
46	374	19	17	6
47	410	14	11	15
48	385	14	12	14
49	357	16	12	13
